Filepath,Desired Leq (D),Tolernce (T),Initial guess (G),Multiplier (M),Max. iterations for boundary search (N),Max. iterations for binary search (N)
..\SampleData\sine_250hz.wav,60,0.1,1,4,10,10
..\SampleData\sine_1000hz.wav,65,0.1,1,2,10,10
..\SampleData\white_noise.wav,70,0.05,1,3,10,10
..\SampleData\pink_noise.wav,55,0.5,1,2,10,10
Filepath,Gain,Leq,Calls to MeasureLeq,Boundary search iterations,Binary search iterations,Within range?,Date,Time
..\SampleData\sine_250hz.wav,-1.000000,66.813998,11,10,0,Y,2021-01-12,11:10 AM
..\SampleData\sine_1000hz.wav,-1.000000,67.476208,11,10,0,Y,2021-01-12,11:12 AM
..\SampleData\white_noise.wav,2.160897,70.000470,6,2,3,Y,2021-01-12,11:14 AM
..\SampleData\pink_noise.wav,-1.000000,69.971501,11,10,0,Y,2021-01-12,11:15 AM
